"臺中市受保護樹木公告清單","","","","",""
"行政區","序號","樹木編號","樹種","地段","地號"
"大肚區","1.0","2401001.0","朴樹","自治段","586.0"
"","2.0","2403001.0","榕樹","榮華段","100、113"
"","3.0","2404003.0","榕樹","追分段","199"
"","4.0","2404004.0","榕樹","追分段","199"
"","5.0","2404005.0","榕樹","追分段","199、203"
"","6.0","2406001.0","榕樹","大東段","348.0"
"","7.0","2406002.0","榕樹","大東段","348.0"
"","8.0","2410001.0","榕樹","追分段","1663.0"
"","9.0","2410002.0","榕樹","社腳段社腳小段","32.0"
"","10.0","2410004.0","榕樹","社腳段社腳小段","99.0"
"","11.0","2411001.0","榕樹","自治段","395.0"
"","12.0","2411004.0","榕樹","自治段","395.0"
"","13.0","2411005.0","榕樹","自治段","395.0"
"","14.0","2411006.0","榕樹","自治段","395.0"
"","15.0","2411007.0","榕樹","自治段","395.0"
"","16.0","2411008.0","榕樹","自治段","395.0"
"","17.0","2411009.0","榕樹","自治段","395.0"
"","18.0","2411010.0","榕樹","自治段","395.0"
"","19.0","2411011.0","榕樹","文昌段","2108.0"
"","20.0","2413001.0","緬梔","瑞井段","35-1"
"","21.0","2413002.0","緬梔","瑞井段","35-1"
"","22.0","2413003.0","緬梔","瑞井段","35-1"
"","23.0","2416001.0","刺桐","追分段","1233-3"
"","24.0","2416002.0","榕樹","追分段","1152-14、1152-16、1169-27"
"","25.0","2416003.0","榕樹","追分段","1048-1"
"","26.0","2416004.0","朴樹","追分段","1000-1"
"","27.0","2416005.0","榕樹","追分段","1152-14、1152-16、1169-27"
"","28.0","2417001.0","榕樹","文昌段","2095.0"
"","29.0","2417002.0","茄苳","文昌段","2095.0"
"石岡區","1.0","2002001.0","樟樹","土牛段土牛小段","616.0"
"","2.0","2002002.0","楓香","土牛段土牛小段","616.0"
"","3.0","2002003.0","黃連木","新德興段","502.0"
"","4.0","2002004.0","黃連木","新德興段","502.0"
"","5.0","2002005.0","黃連木","新德興段","502.0"
"","6.0","2002006.0","黃連木","新德興段","502.0"
"","7.0","2002007.0","榕樹","新德興段","502.0"
"","8.0","2002008.0","龍眼","新德興段","428.0"
"","9.0","2002009.0","麵包樹","新德興段","428.0"
"","10.0","2004001.0","印度橡膠樹","崁子下段","575、588"
"","11.0","2006001.0","黃連木","新國校段","69.0"
"","12.0","2006002.0","芒果","新梅子段","179-1、180、181"
"","13.0","2006003.0","龍眼","新萬興段","455.0"
"","14.0","2008001.0","芒果","新廣興段","797.0"
"","15.0","2008002.0","龍眼","新廣興段","873.0"
"","16.0","2008003.0","黃連木","社寮角段社寮角小段","297-4"
"石岡區","17.0","2008004.0","榕樹","社寮角段社寮角小段","297-4"
"","18.0","2008005.0","榕樹","新萬興段","187.0"
"","19.0","2009001.0","芒果","新德興段","380、382"
"","20.0","2010001.0","樟樹","仙塘坪段","185、186"
"","21.0","2010002.0","榕樹","仙塘坪段","186"
"","22.0","2010003.0","樹杞","仙塘坪段","186"
"","23.0","2010004.0","相思樹","仙塘坪段","185、186"
"","24.0","2010005.0","香楠","仙塘坪段","186.0"
"","25.0","2010006.0","樟樹","仙塘坪段","154-13"
"","26.0","2010007.0","樟樹","仙塘坪段","297.0"
"太平區","1.0","2701001.0","樟樹","頭汴坑段","261.0"
"","2.0","2701002.0","龍眼","萬福段","238.0"
"","3.0","2701003.0","芒果","萬福段","238.0"
"","4.0","2701004.0","芒果","萬福段","238.0"
"","5.0","2701005.0","龍眼","萬福段","1025.0"
"","6.0","2701006.0","樟樹","頭汴坑段","264-298"
"","7.0","2704001.0","榕樹","壽平段","210、212-2、221"
"","8.0","2707001.0","榕樹","和平段","939.0"
"","9.0","2707002.0","榕樹","和平段","939.0"
"","10.0","2707003.0","榕樹","和平段","939.0"
"","11.0","2707004.0","榕樹","和平段","948.0"
"","12.0","2712002.0","樟樹","麗園段","304.0"
"","13.0","2716001.0","榕樹","豐中段","90.0"
"","14.0","2716002.0","榕樹","豐中段","90、91"
"","15.0","2719001.0","龍眼","東平段","291"
"","16.0","2719002.0","茄苳","東平段","581、583、592"
"","17.0","2720001.0","榕樹","皇帝筍坑段","148"
"","18.0","2720002.0","榕樹","皇帝筍坑段","148.0"
"","19.0","2720003.0","榕樹","皇帝筍坑段","148.0"
"","20.0","2720004.0","芒果","頭汴坑段","4911.0"
"","21.0","2721003.0","芒果","東平段","15.0"
"","22.0","2721004.0","龍眼","東平段","158"
"","23.0","2722001.0","榕樹","福星段","44.0"
"","24.0","2725001.0","樟樹","車籠埔段黃竹坑段","17-357"
"","25.0","2731001.0","榕樹","育賢段","201.0"
"","26.0","2732002.0","芒果","新福段","830、831"
"","27.0","2734001.0","樟樹","頭汴坑段","121-1"
"","28.0","2734002.0","芒果","頭汴坑段","9000-111"
"","29.0","2735001.0","荔枝","福隆段","126.0"
"","30.0","2737001.0","樟樹","興隆段","47"
"","31.0","2738001.0","龍眼","頭汴坑段","221-6"
"","32.0","2738002.0","芒果","福利段","65、74"
"梧棲區","1.0","1409001.0","榕樹","文化段","260、286"
"","2.0","1409002.0","榕樹","文化段","260.0"
"","3.0","1410001.0","榕樹","南簡段","264-38"
"沙鹿區","1.0","1301001.0","榕樹","南勢坑段埔子小段","252-1"
"","2.0","1301002.0","榕樹","南勢坑段埔子小段","568-2"
"","3.0","1301003.0","榕樹","南勢坑段埔子小段","568-2"
"","4.0","1301004.0","榕樹","南勢坑段埔子小段","567.0"
"","5.0","1301005.0","榕樹","南勢坑段埔子小段","535-6"
"","6.0","1305001.0","榕樹","北勢坑段北勢坑小段","300.0"
"","7.0","1305002.0","榕樹","北勢坑段北勢坑小段","300.0"
"","8.0","1305003.0","榕樹","北勢坑段北勢坑小段","300.0"
"","9.0","1305006.0","榕樹","北勢坑段北勢坑小段","300.0"
"","10.0","1305009.0","榕樹","北勢坑段北勢坑小段","300.0"
"","11.0","1305012.0","榕樹","北勢坑段北勢坑小段","300.0"
